id,question,choice1,choice2,choice3,choice4,answer,point,title,explanation
17,"""Are you free tonight?"" ""I'm sorry, but (　　) dinner with my parents.""",I'd had,I'm having,I had,I've had,I'm having,POINT003,進行形の定義,確定的な予定を表す現在進行形。
18,"""Whose things are these?"" ""They ( ) my parents.""",are,are belonging to,belong to,owned by,belong to,POINT004,進行形のルール,belongは所有を表す状態動詞なので進行形にできない。単純現在時制を使う。
19,We ( ) the sound of a flute in the park.,are hearing,were hearing,have been hearing,heard,heard,POINT004,進行形のルール,hearは知覚動詞で通常進行形にしない。単純過去時制を使う。
20,Do you mean that the whole building (　　) to you?,belong,is belonged,belongs,is belonging,belongs,POINT004,進行形のルール,belongは状態動詞なので進行形にしない。
21,I will tell him to call you when he ( ) from his trip.,return,returned,returns,will return,returns,POINT005,「時や条件」を表す副詞節で用いる現在形,時を表す副詞節（when節）では未来のことでも現在時制を使う。
22,I will wait here until she ( ).,came,come,comes,will come,comes,POINT005,「時や条件」を表す副詞節で用いる現在形,until節は時の副詞節なので、未来のことでも現在時制を使う。
23,"If you ( ) now, you'll be able to catch the 6:30 train.",start,started,will start,had started,start,POINT005,「時や条件」を表す副詞節で用いる現在形,if節（条件節）では未来のことでも現在時制を使う。
24,"""Is Bill still using your car?"" ""Yes, I wonder when he ( ) it.""",has returned,returned,returns,will return,will return,POINT005,「時や条件」を表す副詞節で用いる現在形,when節がwonderの目的語（名詞節）なので未来時制を使う。副詞節ではない。
25,I don't know if the party ( ) tomorrow.,returns,will return,shall return,returned,will return,POINT005,「時や条件」を表す副詞節で用いる現在形,if節がknowの目的語（名詞節）で「〜かどうか」の意味。未来時制を使う。
26,I'll wait here until you (　　).,are coming back,come back,will have come back,will come back,come back,POINT005,「時や条件」を表す副詞節で用いる現在形,until節では未来でも現在時制。
27,You have to return the book as soon as you (　　) reading it.,will have finished,are finishing,will finish,have finished,have finished,POINT005,「時や条件」を表す副詞節で用いる現在形,as soon as節で完了の意味は現在完了。
28,Your host family will be waiting for you at the train station when you (　　).,arrive,would arrive,will arrive,arrived,arrive,POINT005,「時や条件」を表す副詞節で用いる現在形,when節では未来でも現在時制。
29,"Mr. Tanaka is out now, and I don't know when he (　　) in the office.",will be back,be back,is being back,is back,will be back,POINT005,「時や条件」を表す副詞節で用いる現在形,knowの目的語なので未来時制を使う。
30,The game will be called off if it (　　) tomorrow.,will rain,to rain,rains,raining,rains,POINT005,「時や条件」を表す副詞節で用いる現在形,if節では未来でも現在時制。
31,"Sarah and I lived in Sydney, but we ( ) to Tokyo.",will already move,are just moved,move,have just moved,have just moved,POINT006,現在完了形の用法①～完了・結果・経験～,過去から現在までの変化を表す現在完了。justは現在完了のサイン。選択肢5のhad just movedは大過去で文脈に合わない。
32,I know all about that film because I ( ) it twice.,am seeing,have been seeing,will be seeing,have seen,have seen,POINT006,現在完了形の用法①～完了・結果・経験～,twiceという回数を表す語と共に経験を表す現在完了を使う。選択肢5のseeは現在時制で経験を表せない。
33,"A: ( ) ? B: Yes, only once.",Do you know where China is,When did you go to China,How do you like China,Have you ever been to China,Have you ever been to China,POINT006,現在完了形の用法①～完了・結果・経験～,only onceという答えから、経験を尋ねる現在完了の疑問文が適切。Have you ever〜?は経験を尋ねる典型的な形。
34,My wife and I ( ) each other since we were in high school.,got to know,have been knowing,have known,know,have known,POINT007,現在完了形の用法②～継続～,sinceは現在完了と共に使い、継続を表す。knowは状態動詞なので進行形にしない。
35,You are late. We ( ) for you for an hour.,waited,had waited,have been waited,have been waiting,have been waiting,POINT007,現在完了形の用法②～継続～,for an hourという期間、継続して待っていることを表す現在完了進行形。waitは動作動詞。
36,She (　　) absent from school since the day before yesterday.,had been,has been,was,will have been,has been,POINT007,現在完了形の用法②～継続～,sinceがあるので現在完了。継続を表す。
37,We are all tired of snow. It (　　) for four weeks now.,has been snowing,snowed,is snowing,will be snowing,has been snowing,POINT007,現在完了形の用法②～継続～,for four weeks nowという期間の継続。
38,Mike and Bill (　　) each other since they were children.,know,have been knowing,have known,will have known,have known,POINT007,現在完了形の用法②～継続～,knowは状態動詞。sinceで継続を表す。
39,I have just ( ) to the airport to see my friends off.,visited,left,arrived,been,been,POINT008,現在完了形の用法③～注意点～,have been to〜で「〜へ行ってきた」という完了の意味。空港まで友だちを見送りに行ってきたところ。
40,Tom ( ) to San Francisco to see a friend of his last month.,goes,is going,has gone,went,went,POINT008,現在完了形の用法③～注意点～,last monthという過去の時点を示す語があるので過去時制を使う。現在完了は使えない。
41,He ( ) home just now. Didn't you know that?,comes,came,has come,had come,came,POINT008,現在完了形の用法③～注意点～,just nowは「たった今」の意味で過去時制と共に使う。現在完了のjustとは異なる。
42,There is a new road to the freeway. They just (　　) it yesterday.,opened,have opened,would open,are opening,opened,POINT008,現在完了形の用法③～注意点～,yesterdayがあるので過去時制。justは強調。
43,He (　　) Chicago many times when he lived in the U.S.,has visited,has been visited,visited,has been visiting,visited,POINT008,現在完了形の用法③～注意点～,when節が過去なので主節も過去時制。
44,It (　　) ten years since the two companies merged.,passed,has passed,has been,is passed,has been,POINT008,現在完了形の用法③～注意点～,It has been...since〜の構文。
45,Ten years (　　) since I left my home to work in this city.,passed,is passed,have passed,had passed,have passed,POINT008,現在完了形の用法③～注意点～,時間が主語の場合はhave passed。
46,"When I got to the station, the train ( ) already started.",was,has,been,had,had,POINT009,過去完了形の用法①～完了・結果・経験～,過去の時点（got）より前に完了した動作を表す過去完了。hadの後にはstartedが続く。
47,I lost the watch which my sister ( ) me for my birthday.,gives,has given,had given,will give,had given,POINT009,過去完了形の用法①～完了・結果・経験～,lostより前の時点での動作（プレゼントをもらった）を表す過去完了。
48,"When I arrived at the classroom, the English exam (　　) already.",to start,had started,has started,starts,had started,POINT009,過去完了形の用法①～完了・結果・経験～,過去の時点より前に完了した動作。
49,The professor read my technical report which I (　　) the day before.,had written,have been writing,will be writing,have written,had written,POINT009,過去完了形の用法①～完了・結果・経験～,the day beforeは過去の過去を表す。
50,We ( ) playing baseball for about half an hour when it started to rain very heavily.,had been,have been,might be,would be,had been,POINT010,過去完了形の用法②～継続～,過去の時点（started to rain）まで継続していた動作を表す過去完了進行形。
51,Mr. Brown (　　) for nearly thirty minutes when his client arrived.,will have waited,has waited,had been waiting,has been waiting,had been waiting,POINT010,過去完了形の用法②～継続～,過去の時点まで継続していた動作。
52,Tommy ( ) the assignment by the time his father gets home.,finished,had finished,will have finished,is finishing,will have finished,POINT012,未来完了形の用法①～完了・結果・経験と継続～,by the time（〜までに）という未来の時点までに完了する動作を表す未来完了。
53,Paul's yacht (　　) at Hawaii by the end of next March.,arrived,has arrived,used to arrive,will have arrived,will have arrived,POINT012,未来完了形の用法①～完了・結果・経験と継続～,by the end of next Marchまでに完了する。
54,He (　　) at the local hospital for 10 years by the end of next month.,has been working,is working,has worked,will have been working,will have been working,POINT012,未来完了形の用法①～完了・結果・経験と継続～,未来の時点までの継続を表す。
55,He will call you as soon as he ( ) the work.,will have finished,will finish,has finished,had finished,has finished,POINT013,未来完了形の用法②～注意点～,as soon as節では未来完了の意味でも現在完了を使う。「仕事を終えたらすぐに」の意味。
56,English and French ( ) in Canada.,speak,spoke,are spoken,are spoke,are spoken,POINT014,受動態の基本,英語とフランス語は「話される」ので受動態。複数主語なのでare spoken。
57,The tallest building in my town (　　) 50 years ago.,was built,built,has been built,has built,was built,POINT014,受動態の基本,建物は「建てられた」ので受動態。
58,He (　　) captain of the team by the boys.,chooses,was chosen,chose,has chosen,was chosen,POINT014,受動態の基本,「選ばれた」ので受動態。
59,How often are the flowers (　　) during the summer?,been watered,water,watered,watering,watered,POINT014,受動態の基本,are + 過去分詞の受動態。
60,The temperature in the refrigerator ( ) low so that the food does not go bad.,should kept,should be kept,should keep,keeps,sholud be kept,POINT015,様々な形の受動態,温度は「保たれる」ので受動態。should be + 過去分詞の形。
61,A new novel by Green ( ).,has just been published,just published,just been published,has just published,has just been published,POINT015,様々な形の受動態,小説は「出版された」ので受動態。justがあるので現在完了。has been + 過去分詞。
62,A new building ( ) constructed on campus.,has,being,is being,had,is being,POINT015,様々な形の受動態,建物が「建設されている」最中を表す現在進行形の受動態。is being + 過去分詞。
63,The presidential election (　　) in two years.,will held,will be held,are hold,will hold,will be held,POINT015,様々な形の受動態,選挙は「行われる」ので受動態。
64,"Fortunately, the hospital's new air-conditioning system (　　) when the first heat wave of the summer arrived.",had already been installed,already installed,had already been installing,had already installed,had already been installed,POINT015,様々な形の受動態,過去の時点より前に設置完了。
65,It has been hard to concentrate on my studies lately because a road (　　) in front of my house.,builds,is being built,has built,is building,is being built,POINT015,様々な形の受動態,道路が「建設されている」最中。
66,I was made ( ) for a long time.,wait,to wait,waiting,waited,to wait,POINT018,第５文型の受動態,makeの受動態では原形不定詞がto不定詞になる。be made to do。
67,Carl was seen ( ) the building last night.,enter,entered,to enter,having entered,to enter,POINT018,第５文型の受動態,seeの受動態では原形不定詞がto不定詞になる。be seen to do。
68,He is said ( ) abroad when he was young.,to study,studying,to have studied,having studied,to have studied,POINT019,思考認知告示動詞の受動態,過去の出来事なので完了不定詞を使う。is said to have + 過去分詞。
69,正しい文を選びなさい。,It is believed that he has made a fortune in his youth.,He is believed that he made a fortune in his youth.,He is believed to have made a fortune in his youth.,He is believed to make a fortune in his youth.,He is believed to have made a fortune in his youth.,POINT019,思考認知告示動詞の受動態,It is believed that構文をHe is believed to構文に書き換え。過去の出来事なので完了不定詞。
70,He is said (     ) a great scientist.,to be,being,be,been,to be,POINT019,思考認知告示動詞の受動態,「be said to be」で「～だと言われている」という意味です。|It is said that he is...の書き換えです。|受動態でも不定詞はtoを伴います。
71,His name is known ( ) everyone in our town.,for,to,with,in,to,POINT020,注意すべき受動態の表現①～be known～,「〜に知られている」はbe known to。人を表す前置詞はto。
72,He was known ( ) an honest man.,on,of,as,to,as,POINT020,注意すべき受動態の表現①～be known～,「〜として知られている」はbe known as。
73,He was ( ) at the delay in the progress of the health program.,disappoint,disappointed,disappointing,disappointment,disappointed,POINT021,注意すべき受動態の表現②～感情表現～,人が主語の場合は-ed形。「失望させられた」という受動的な意味。
74,He will not ( ) such a small salary.,satisfy with,be satisfied with,be satisfied at,satisfy,be satisfied with,POINT021,注意すべき受動態の表現②～感情表現～,「〜に満足する」はbe satisfied with。受動態の形で使う。
75,Ken was absorbed ( ) practicing the guitar.,on,at,in,with,in,POINT021,注意すべき受動態の表現②～感情表現～,「〜に夢中である」はbe absorbed in。前置詞はin。
76,Our flight ( ) because of some mechanical problem.,delay,delays,delayed,was delayed,was delayed,POINT022,注意すべき受動態の表現③～被害表現～,フライトは「遅延させられた」ので受動態。
77,Many animals in the forest were killed ( ) the fire last year.,on,in,at,for,in,POINT022,注意すべき受動態の表現③～被害表現～,「〜で死ぬ」はbe killed in。火事の中でという意味。
78,I was caught ( ) a shower on my way home from school.,in,for,on,at,in,POINT022,注意すべき受動態の表現③～被害表現～,「〜に遭う」はbe caught in。にわか雨に遭った。
79,"Judging by the smell, this can seems to be filled ( ) petrol.",with,by,from,of,with,POINT023,注意すべき受動態の表現④～その他の頻出表現～,「〜で満たされている」はbe filled with。
80,Many high school students are actively ( ) in volunteer work.,involved,giving,joined,participated,involved,POINT023,注意すべき受動態の表現④～その他の頻出表現～,「〜に関わる」はbe involved in。受動態の形。
81,She got married ( ) a famous writer.,on,between,for,to,to,POINT023,注意すべき受動態の表現④～その他の頻出表現～,「〜と結婚する」はget married to。marryは他動詞だがget marriedではtoが必要。
82,Tom was ( ) a dark suit.,dressing,to dress by,dressed in,dressed for,dressed in,POINT023,注意すべき受動態の表現④～その他の頻出表現～,「〜を着ている」はbe dressed in。服装を表す。
83,His leg was broken when he got ( ) by the truck.,overrun,run over,driven in,hit on,run over,POINT024,be動詞の代わりに使える「動作動詞」と「状態動詞」,run over（轢く）の受動態。get + 過去分詞で受動の意味。
84,The treasure remains ( ) somewhere on the island.,buried,bury,burying,to bury,buried,POINT024,be動詞の代わりに使える「動作動詞」と「状態動詞」,remainは「〜のままである」。宝は「埋められた状態」なので過去分詞。
85,Please remain ( ) for a few minutes.,sat,seated,seating,to seat,seated,POINT024,be動詞の代わりに使える「動作動詞」と「状態動詞」,「座ったままでいる」はremain seated。過去分詞で状態を表す。
86,"If you make the same mistake, you will ( ) everyone.",be laughed by,be laughing at,be laughed at by,laugh at,be laughed at by,POINT026,群動詞（熟語）の受動態,laugh at（〜を笑う）の受動態。前置詞atも一緒に残す。be laughed at by。
87,The baby will be taken care ( ) by nurses.,of,with,なし,for,of,POINT026,群動詞（熟語）の受動態,take care of（〜の世話をする）の受動態。前置詞ofを残す。
88,"On her way home from school, the little girl was (　　) a stranger.",spoke,spoken to,spoken to by,spoken by to,spoken to by,POINT026,群動詞（熟語）の受動態,speak toの受動態。前置詞を残す。
89,"He ( ) be a good student, for he never studies.",must not,has to,cannot,does not have to,cannot,POINT027,canの基本,「〜のはずがない」はcannot。forは理由を表す接続詞。
90,He (　　) be Mary's boyfriend.,mustn't,may not,won't,can't,can't,POINT027,canの基本,「〜のはずがない」はcan't。
91,(　　) it be true that he bought a sports car?,Can,Has,Had,Did,Can,POINT027,canの基本,「〜ということがありえるか」
92,"Sales of music CDs have already started to fall, and some CD stores ( ) in the future.",must have disappeared,may disappear,need disappear,should be disappeared,may disappear,POINT029,mayの基本,「〜かもしれない」はmay。未来のことなので単純形。
93,(　　) you all be happy and well.,Suppose,May,Fortunately,If only,May,POINT029,mayの基本,祈願を表すMay。
94,Everyone ( ) be here on time tomorrow. The meeting is going to start at nine sharp.,can,shouldn't,must,has,must,POINT031,mustの基本,「〜しなければならない」はmust。全員時間通りに来る必要がある。
95,He ( ) be sick. (I am sure that he is sick.),may,can,will,must,must,POINT031,mustの基本,「〜に違いない」はmust。I am sureと同じ意味。
96,Excuse me for rushing off. I (　　) get back to the office.,would,may,must,need,must,POINT031,mustの基本,「〜しなければならない」
97,I promised I would be on time. I (　　) be late.,must not,don't have to,might not,need not,must not,POINT031,mustの基本,約束したので「遅れてはいけない」
98,He (　　) be in because I can hear his radio.,must have,shall,has,must,must,POINT031,mustの基本,ラジオが聞こえるので「いるに違いない」
99,"The car broke down, and we ( ) a taxi.",must have gotten,had got to get,had to get,must get,had to get,POINT032,mustとhave toの違いを理解しよう,「〜しなければならなかった」はhad to。過去の出来事。
100,You ( ) pay this time.,don't have to,don't must,must not need,need not to,don't have to,POINT032,mustとhave toの違いを理解しよう,「〜する必要はない」はdon't have to。mustの否定は禁止になる。
101,You have ( ) to let me have a glance at it.,hardly,never,nothing,only,only,POINT032,mustとhave toの違いを理解しよう,「〜しさえすればよい」はhave only to。
102,My brother was in an accident a few days ago and I (　　) him to the hospital then.,should take,had to take,can take,had better take,had to take,POINT032,mustとhave toの違いを理解しよう,過去に「〜しなければならなかった」
103,"Oh, it's already eleven o'clock? (　　) go home now.",I had had to,I've gotten,I've got to,I'm having to,I've got to,POINT032,mustとhave toの違いを理解しよう,= have to「〜しなければならない」
104,You (　　) talk about yourself if you don't want to.,don't have to,don't have,have not,have not to,don't have to,POINT032,mustとhave toの違いを理解しよう,「〜する必要はない」
105,The train for Osaka will be leaving in two minutes. You (　　) hurry up now.,should,used to,mustn't,had to,should,POINT033,shouldの基本,「〜すべきだ」急ぐべき。
106,He (　　) to look after his children better.,have,should,ought,must,ought,POINT034,shouldの仲間①ought toV,ought + to不定詞「〜すべきだ」
107,I (　　) not to tell my father the true state of his health.,ought,must,should,better,ought,POINT034,shouldの仲間①ought toV,「〜すべきでない」と判断。
108,Travelers ( ) their reservations early if they want to fly during the holiday seasons.,had better to make,had to make better,had better make,had better made,had better make,POINT035,shouldの仲間②had better V原形,「〜したほうがよい」はhad better + 原形。toは不要。
109,You ( ) show up at the meeting now.,had better not,had not better,didn't have better,had better not to,had better not,POINT035,shouldの仲間②had better V原形,「〜しないほうがよい」はhad better not + 原形。
110,"If you have a toothache, you (　　) the dentist right now.",have better to see,had better see,had better to see,have better see,had better see,POINT035,shouldの仲間②had better V原形,had better + 原形「〜したほうがよい」
111,You (　　) go jogging after dark in this neighborhood.,had not better,not had better,had not better to,had better not,had better not,POINT035,shouldの仲間②had better V原形,「〜しないほうがよい」
112,"We ( ) often play tennis in the park, when we were young.",can,may,should,would,would,POINT037,wouldの基本,「よく〜したものだ」はwould。過去の習慣的動作。
113,He was a very stubborn person and ( ) not listen to me.,would,could,should,might,would,POINT037,wouldの基本,「どうしても〜しようとしなかった」はwould not。頑固な拒否。
114,"We all tried to push the truck, but it (　　) move. Finally, we called the car service center.",won't,will,wouldn't,would,wouldn't,POINT037,wouldの基本,「どうしても動かなかった」
115,"When we were children, we (　　) go skating every winter.",wanted,liked,would,might,would,POINT037,wouldの基本,過去の習慣的動作。
116,"He ( ) to the museum, but now he hardly ever goes.",used to going,used to go,would go,is used to going,used to go,POINT038,used to V原形～の基本,「以前は〜だった」はused to + 原形。現在との対比。
117,Sue's not the cheerful woman she ( ).,is,is used to,used to be,would be,used to be,POINT038,used to V原形～の基本,「以前〜だった」はused to be。彼女は以前の陽気な女性ではない。
118,I got nervous because I was not used to ( ) to a large audience.,have spoken,speaking,be spoken,speak,speaking,POINT038,used to V原形～の基本,「〜に慣れている」はbe used to + 動名詞。
119,"My sister (　　) in Chicago, but she moved to Los Angeles last year.",used to live,is used to living,used to living,was used to live,used to live,POINT038,used to V原形～の基本,「以前は〜だった」過去の習慣。
120,I need (     ) my homework.,to finish,finishing,finish,finished,to finish,POINT040,needの基本,一般動詞のneedは不定詞を取ります。|「～する必要がある」という意味です。|助動詞needなら原形が続きます。
121,How (　　) you speak to me like that!,might,dare,do,may,dare,POINT040,needの基本,「よくも〜できるものだ」怒りを表す。
122,The street is wet. It ( ) yesterday.,must have rained,should rain,would have rained,perhaps have rained,must have rained,POINT041,助動詞 have Vp.p.シリーズ,「〜したに違いない」はmust have + 過去分詞。道が濡れている証拠から推量。
123,"She ( ) the train. It's already 8:30, and she hasn't shown up yet.",may misses,may missed,may have miss,may have missed,may have missed,POINT041,助動詞 have Vp.p.シリーズ,「〜したかもしれない」はmay have + 過去分詞。
124,You ( ) have seen Tom in Kyoto yesterday. He is still in England.,must,may,shouldn't,cannot,cannot,POINT041,助動詞 have Vp.p.シリーズ,「〜したはずがない」はcannot have + 過去分詞。イギリスにいるので京都で見たはずがない。
125,"""You are late. You ( ) me sooner.""",called,have called,should have called,will call,should have called,POINT041,助動詞 have Vp.p.シリーズ,「〜すべきだった」はshould have + 過去分詞。もっと早く電話すべきだった。
126,"As he left Osaka at 7, he ought to ( ) arrived in Kobe by now.",be,been,had,have,have,POINT041,助動詞 have Vp.p.シリーズ,「〜したはずだ」はought to have + 過去分詞。
127,I hurt my back. I ( ) that heavy box upstairs yesterday.,should not have carried,can be carrying,had not been carrying,might have carried,should not have carried,POINT041,助動詞 have Vp.p.シリーズ,「〜すべきでなかった」はshould not have + 過去分詞。重い箱を運ぶべきでなかった。
128,You ( ) him. (あんなやつに金を支払わなくてもよかったのに),didn't need pay,need not have paid,needed not to pay,didn't have paid,need not have paid,POINT041,助動詞 have Vp.p.シリーズ,「〜する必要はなかった（のにした）」はneed not have + 過去分詞。
129,"Tom (　　) there yesterday, but we didn't see him.",should be,might be,must have to be,may have been,may have been,POINT041,助動詞 have Vp.p.シリーズ,「〜したかもしれない」
130,"The wedding party (　　) a lot of money. There were a lot of guests, and the hotel was the best in the city.",cannot have cost,could not cost,will cost,must have cost,must have cost,POINT041,助動詞 have Vp.p.シリーズ,状況から「〜したに違いない」
131,"Kate (　　) her way, for she has come here several times.",can be lost,couldn't lose,can't have lost,could have lost,can't have lost,POINT041,助動詞 have Vp.p.シリーズ,何度も来ているので「道に迷ったはずがない」
132,"I (　　) called you this morning, but I was too busy to do so.",should not have,must not have,should have,must have,should have,POINT041,助動詞 have Vp.p.シリーズ,「〜すべきだった（のにしなかった）」
133,Our French teacher (　　) here by now because he took the early bus.,ought to have arrived,can arrive,may arrive,must arrive,ought to have arrived,POINT041,助動詞 have Vp.p.シリーズ,「到着しているはずだ」
134,"""You are soaking wet. You (　　) out in the rain."" ""I know, but they were expecting me.""",couldn't have gone,shouldn't have gone,wouldn't have gone,could have gone,shouldn't have gone,POINT041,助動詞 have Vp.p.シリーズ,「雨の中を出るべきではなかった」
135,"Contrary to the weather forecast, it did not rain yesterday. We (　　) all our raincoats and umbrellas.",must have brought,needn't have brought,should have brought,couldn't have brought,needn't have brought,POINT041,助動詞 have Vp.p.シリーズ,「持ってくる必要はなかった（のに持ってきた）」
136,I am disappointed with the result because we (　　) the game against their team last night.,could win,could have won,should win,should be winning,could have won,POINT041,助動詞 have Vp.p.シリーズ,「勝てたはずなのに」実現しなかった可能性。
137,You ( ) be too careful in choosing your friends.,need not to,must,should,cannot,cannot,POINT042,慣用表現シリーズ,「いくら〜してもしすぎることはない」はcannot...too。
138,He couldn't help ( ) during the concert.,falling asleep,fall sleeping,fell asleep,to fall asleep,falling asleep,POINT042,慣用表現シリーズ,「〜せずにはいられない」はcan't help + 動名詞。
139,"He told a lie, so Ann ( ) get angry with him.",may well,may as well,may,might as well,may well,POINT042,慣用表現シリーズ,「〜するのももっともだ」はmay well。うそをついたので怒るのも当然。
140,"Anyway, you ( ) as well get started now.",had better,may,must,should,may,POINT042,慣用表現シリーズ,「〜したほうがよい」はmay as well。とにかく今始めたほうがよい。
141,You ( ) throw your money into the sea as lend it to such a person.,may well,might as well,will do well to,will do better to,might as well,POINT042,慣用表現シリーズ,「〜するくらいなら〜したほうがましだ」はmight as well...as。
142,I'm thirsty. ( ) like to have a cup of coffee.,I'd,I'll,I'm,I've,I'd,POINT042,慣用表現シリーズ,「〜したい」はwould like to。I'd = I would。
143,What would you ( )?,like me doing,like me to do,like me for doing,like me done,like me to do,POINT042,慣用表現シリーズ,「人に〜してもらいたい」はwould like + 人 + to do。
144,Most young people would rather spend money than ( ) it in the bank.,having put,put,to put,putting,put,POINT042,慣用表現シリーズ,「〜するよりむしろ〜したい」はwould rather...than。thanの後も原形。
145,I would rather ( ) in London much longer than a week.,stay,to stay,stayed,staying,stay,POINT042,慣用表現シリーズ,「むしろ〜したい」はwould rather + 原形。
146,I would ( ) the operation unless it is absolutely necessary.,have not rather,not have rather,have rather not,rather not have,rather not have,POINT042,慣用表現シリーズ,「むしろ〜したくない」はwould rather not + 原形。
147,I couldn't help (     ) at his joke.,laughing,laugh,to laugh,laughed,laughing,POINT042,慣用表現シリーズ,「can't help + 動名詞」で「～せずにはいられない」という意味です。|動名詞のみを取る重要な慣用表現です。|= can't help but + 原形不定詞とも言えます。
148,Peter would rather stay home than (　　) to the movies.,go,to go,gone,having gone,go,POINT042,慣用表現シリーズ,than以下も原形。
149,"As it is raining, I would (　　) stay at home.",rather,better,have,like,rather,POINT042,慣用表現シリーズ,「むしろ〜したい」
150,"Anyone watching the musical cannot (　　) feeling happiness, joy and pride.",also,but,help,without,help,POINT042,慣用表現シリーズ,「〜せずにはいられない」
151,I could not (　　) help my brother with his math homework.,but,doing,much,so,but,POINT042,慣用表現シリーズ,「〜せざるを得なかった」
152,It takes so long by train. You (　　) as well fly.,would,should,might,can,might,POINT042,慣用表現シリーズ,「〜したほうがよい」
153,It is regrettable that Annie (　　) waste her artistic talent.,should not,ought to,could not,should,should,POINT043,that節で用いられる想念のshould①,「〜するとは」残念な内容。
154,It is essential that the documents (　　) kept in the safe.,being,is,were,be,be,POINT044,that節で用いられる想念のshould②,提案・要求のthat節は原形。
155,I suggested (　　) more careful.,for her be,that she be,that she were,her to be,that she be,POINT044,that節で用いられる想念のshould②,「〜することを提案する」原形。
156,The teacher ordered that every student (　　) a study plan for the summer vacation.,has made,to make,make,had made,make,POINT044,that節で用いられる想念のshould②,命令のthat節は原形。
157,I recommended that he (　　) on time to the interview.,will come,comes,would come,come,come,POINT044,that節で用いられる想念のshould②,推奨のthat節は原形。
158,It is wrong (     ) a lie.,to tell,to telling,tell,having told,to tell,POINT045,不定詞の基本① 名詞的用法,「It is + 形容詞 + to不定詞」は「～することは…だ」という意味の重要構文です。|Itは仮主語で、本当の主語は「to tell a lie（嘘をつくこと）」です。|動名詞tellingは主語になれますが、この構文では使えません。
159,"I'm not sure whether we'll be able to buy the house, but we hope (　　).",to,it,that,do,to,POINT045,不定詞の基本① 名詞的用法,to buy the houseの省略。
160,The book (     ) on the desk is mine.,lying,lain,laying,lay,lying,POINT046,不定詞の基本② 形容詞的用法,現在分詞lyingが後ろから名詞bookを修飾しています。|「机の上に置かれている本」という意味。|lie（横たわる）の現在分詞はlying、lay（置く）の現在分詞はlayingです。
161,You should go to Tokyo Dome (　　) a baseball game.,to seeing,see,with seeing,to see,to see,POINT047,不定詞の基本③ 副詞的用法,「〜するために」to不定詞。
162,His grandfather lived (　　) ninety-two and was the head of the company for many years.,for being,till he would be,to be,being,to be,POINT047,不定詞の基本③ 副詞的用法,「92歳まで生きた」
163,Caesar entered the town (　　) that the enemy had already fled.,found,only to be found,only to find,of finding,only to find,POINT047,不定詞の基本③ 副詞的用法,「〜したが結果は」予期しない結果。
